epoch,train_loss,train_accuracy,test_loss,test_accuracy,f1_score,mcc,confusion_matrix
22,,,1.0510385036468506,52.0,0.3912535803522458,0.19810390377893308,"[[ 0 31  0 11]
 [ 0 95  0  2]
 [ 0 22  0  6]
 [ 0 24  0  9]]"
23,,,0.961082249879837,50.5,0.458961038961039,0.37638161293064026,"[[ 0  1  0 41]
 [ 0 72  0 25]
 [ 0  2  0 26]
 [ 0  4  0 29]]"
24,,,1.0117183774709702,54.0,0.430875,0.27898143738005626,"[[ 0 16  0 26]
 [ 0 93  0  4]
 [ 0 16  0 12]
 [ 0 18  0 15]]"
25,,,1.0028910636901855,53.5,0.42255702280912366,0.26158032606596676,"[[ 0 19  0 23]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 19  0 14]]"
26,,,0.9527474790811539,51.5,0.442766106442577,0.30879306116679633,"[[ 0  8  0 34]
 [ 0 81  0 16]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
27,,,1.0087587088346481,54.0,0.4333142779365728,0.28383809655534736,"[[ 0 15  0 27]
 [ 0 92  0  5]
 [ 0 16  0 12]
 [ 0 17  0 16]]"
28,,,0.9660710543394089,53.0,0.4467096358362875,0.31083732370807116,"[[ 0 11  0 31]
 [ 0 86  0 11]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
29,,,0.9637036621570587,51.5,0.4442096893060781,0.31135300042297576,"[[ 0  7  0 35]
 [ 0 81  0 16]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
30,,,0.968404158949852,52.5,0.44252173913043485,0.2998397533649625,"[[ 0 11  0 31]
 [ 0 86  0 11]
 [ 0  7  0 21]
 [ 0 14  0 19]]"
31,,,0.9463621824979782,51.5,0.4509762986145567,0.32733088329753923,"[[ 0  4  0 38]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 10  0 23]]"
32,,,0.9476243257522583,51.5,0.4509762986145567,0.32733088329753923,"[[ 0  4  0 38]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 10  0 23]]"
33,,,0.9409793317317963,51.5,0.4442096893060781,0.31135300042297576,"[[ 0  7  0 35]
 [ 0 81  0 16]
 [ 0  7  0 21]
 [ 0 11  0 22]]"
34,,,1.0653619915246964,52.5,0.40656470588235294,0.22671224533162057,"[[ 0 25  0 17]
 [ 0 93  0  4]
 [ 0 19  0  9]
 [ 0 21  0 12]]"
35,,,0.9313107281923294,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
36,,,0.9671685546636581,53.5,0.448850780963256,0.31298085114420926,"[[ 0 11  0 31]
 [ 0 88  0  9]
 [ 0  7  0 21]
 [ 0 14  0 19]]"
37,,,1.0005715191364288,54.5,0.442987012987013,0.3033677056079168,"[[ 0 13  0 29]
 [ 0 92  0  5]
 [ 0 13  0 15]
 [ 0 16  0 17]]"
38,,,1.1964215785264969,50.5,0.3594736842105263,0.14218372923660777,"[[ 0 36  0  6]
 [ 0 97  0  0]
 [ 0 26  0  2]
 [ 0 29  0  4]]"
39,,,1.0413608849048615,53.0,0.4177787456445994,0.25020089846829224,"[[ 0 19  0 23]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 20  0 13]]"
40,,,0.9386093467473984,51.5,0.4565058876811594,0.3415404289772276,"[[ 0  3  0 39]
 [ 0 79  0 18]
 [ 0  4  0 24]
 [ 0  9  0 24]]"
41,,,0.9350807666778564,51.5,0.4588280986153327,0.35050606784098176,"[[ 0  2  0 40]
 [ 0 78  0 19]
 [ 0  4  0 24]
 [ 0  8  0 25]]"
42,,,0.9423477798700333,50.5,0.4553200768775872,0.3692012194675546,"[[ 0  2  0 40]
 [ 0 72  0 25]
 [ 0  3  0 25]
 [ 0  4  0 29]]"
43,,,0.9730501025915146,50.0,0.4576433823529411,0.3904135095213768,"[[ 0  1  0 41]
 [ 0 69  0 28]
 [ 0  1  0 27]
 [ 0  2  0 31]]"
44,,,0.9332896620035172,51.0,0.44536959607196286,0.3132666310848695,"[[ 0  5  0 37]
 [ 0 80  0 17]
 [ 0  6  0 22]
 [ 0 11  0 22]]"
45,,,0.9582205563783646,52.5,0.44349945828819065,0.3043765740229922,"[[ 0 11  0 31]
 [ 0 85  0 12]
 [ 0  7  0 21]
 [ 0 13  0 20]]"
3,,,0.671779647075905,62.891036842066455,0.5431962955272562,0.43982605507381245,"[[    0     0 16642  3931]
 [    0     0 12847  5678]
 [    0     0 21849  5227]
 [    0     0  6007 63452]]"
46,,,1.0296533405780792,54.0,0.42901859504132234,0.27586974477145837,"[[ 0 17  0 25]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 18  0 15]]"
47,,,0.9291279762983322,51.5,0.45485685110245455,0.3386277763510432,"[[ 0  3  0 39]
 [ 0 79  0 18]
 [ 0  5  0 23]
 [ 0  9  0 24]]"
48,,,0.93349589407444,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
49,,,0.9387682229280472,51.0,0.45815322850451656,0.36086144367485634,"[[ 0  2  0 40]
 [ 0 75  0 22]
 [ 0  3  0 25]
 [ 0  6  0 27]]"
0,,,1.3187797963619232,47.5,0.44077191386108583,0.3825774576606565,"[[ 0  0 42  0]
 [ 0 68 29  0]
 [ 0  1 27  0]
 [ 0  2 31  0]]"
0,,,1.3187797963619232,47.5,0.44077191386108583,0.3825774576606565,"[[ 0  0 42  0]
 [ 0 68 29  0]
 [ 0  1 27  0]
 [ 0  2 31  0]]"
1,,,1.2679307758808136,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
1,,,1.2679307758808136,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
2,,,1.2325244843959808,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
2,,,1.2325244843959808,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
3,,,1.174742192029953,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
3,,,1.174742192029953,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
4,,,1.0992790460586548,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
4,,,1.0992790460586548,48.5,0.3168013468013468,0.0,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 33  0  0]]"
5,,,1.0668782591819763,53.0,0.41525211958946895,0.24566215492406307,"[[ 0 22  0 20]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 20  0 13]]"
5,,,1.0668782591819763,53.0,0.41525211958946895,0.24566215492406307,"[[ 0 22  0 20]
 [ 0 93  0  4]
 [ 0 17  0 11]
 [ 0 20  0 13]]"
6,,,1.0634030401706696,49.0,0.32757750397456276,0.08060292065912932,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 32  0  1]]"
6,,,1.0634030401706696,49.0,0.32757750397456276,0.08060292065912932,"[[ 0 42  0  0]
 [ 0 97  0  0]
 [ 0 28  0  0]
 [ 0 32  0  1]]"
7,,,1.024493619799614,50.5,0.4553200768775872,0.3692012194675546,"[[ 0  2  0 40]
 [ 0 72  0 25]
 [ 0  3  0 25]
 [ 0  4  0 29]]"
7,,,1.024493619799614,50.5,0.4553200768775872,0.3692012194675546,"[[ 0  2  0 40]
 [ 0 72  0 25]
 [ 0  3  0 25]
 [ 0  4  0 29]]"
